Claim,Updated,org,location,service,gogetta_link (service),gogetta_link,website,category,Age min,Age max (inclusive),All ages,Population served,phones,address,city,zipcode,visible_on_gogetta,Notes,extracted service id,From DB: Age min,From DB: Age max,From DB: Population served
,,Church Of St. Frances Of Rome,,Food Pantry,https://www.gogetta.nyc/team/location/95b1316a-90aa-4ba4-8964-1c93c58f1c22/services/a1daf59b-0a10-4e83-8696-480fa172fa7b,https://www.gogetta.nyc/find/location/95b1316a-90aa-4ba4-8964-1c93c58f1c22,https://sfrbronx.org,Food Pantry,,,,,718-324-5340,4307 Barnes Avenue,The Bronx,10466,,,a1daf59b-0a10-4e83-8696-480fa172fa7b,,,
doobneek,TRUE,Church of St. Francis of Assisi,"The Asylum Seekers Assistance Project (ASAP), Migrant Center",Breadline,https://www.gogetta.nyc/team/location/9fc4c057-119a-4c1e-a3ed-5814a8a4a8f4/services/1a059481-809e-4fe0-af67-c9a0aee53a60,https://www.gogetta.nyc/find/location/9fc4c057-119a-4c1e-a3ed-5814a8a4a8f4,stfrancisnyc.org/proyecto-de-asistencia-para-solicitates-de-asilo-the-asylum-seekers-assistance-project,Food,,,x,,"(212) 564-8799, 212.564.8799",135 W 31 St,New York,10001,V,,1a059481-809e-4fe0-af67-c9a0aee53a60,,,
doobneek,TRUE,Church of St. Francis of Assisi,"The Asylum Seekers Assistance Project (ASAP), Migrant Center",Asylum Self-Petition,https://www.gogetta.nyc/team/location/9fc4c057-119a-4c1e-a3ed-5814a8a4a8f4/services/b4d01783-1e48-4efd-b58a-0fc772426d98,https://www.gogetta.nyc/find/location/9fc4c057-119a-4c1e-a3ed-5814a8a4a8f4,stfrancisnyc.org/proyecto-de-asistencia-para-solicitates-de-asilo-the-asylum-seekers-assistance-project,Other service,,,x,,"(212) 564-8799, 212.564.8799",135 W 31 St,New York,10001,V,,b4d01783-1e48-4efd-b58a-0fc772426d98,,,
doobneek,TRUE,Church of St. Francis of Assisi,"The Asylum Seekers Assistance Project (ASAP), Migrant Center",Pantry,https://www.gogetta.nyc/team/location/9fc4c057-119a-4c1e-a3ed-5814a8a4a8f4/services/d046191d-5b69-44d7-93ba-528fa6635b45,https://www.gogetta.nyc/find/location/9fc4c057-119a-4c1e-a3ed-5814a8a4a8f4,stfrancisnyc.org/proyecto-de-asistencia-para-solicitates-de-asilo-the-asylum-seekers-assistance-project,Food,,,,,"(212) 564-8799, 212.564.8799",135 W 31 St,New York,10001,V,,d046191d-5b69-44d7-93ba-528fa6635b45,,,
doobneek,TRUE,Church of St. Luke in the Field,Art and Acceptance LGBTQ+ Art Program,Clothing,https://www.gogetta.nyc/team/location/70a9e299-a416-4c87-aa4b-923d0f999551/services/64ef363a-e75e-4fe0-8d8c-613855bc4e8a,https://www.gogetta.nyc/find/location/70a9e299-a416-4c87-aa4b-923d0f999551,stlukeinthefields.org/outreach/art-acceptance,Clothing,18,30,,,212.924.0562,487 Hudson St,New York,10014,V,,64ef363a-e75e-4fe0-8d8c-613855bc4e8a,,,
doobneek,TRUE,Church of St. Luke in the Field,Art and Acceptance LGBTQ+ Art Program,Safe space for LGBTQA+ youth to make art,https://www.gogetta.nyc/team/location/70a9e299-a416-4c87-aa4b-923d0f999551/services/ecfe359e-5c52-4c43-96b6-700d1008f2ef,https://www.gogetta.nyc/find/location/70a9e299-a416-4c87-aa4b-923d0f999551,stlukeinthefields.org/outreach/art-acceptance,Other service,18,30,,,212.924.0562,487 Hudson St,New York,10014,V,,ecfe359e-5c52-4c43-96b6-700d1008f2ef,,,
doobneek,TRUE,Church of St. Luke in the Field,Art and Acceptance LGBTQ+ Art Program,Lawyer On-Site,https://www.gogetta.nyc/team/location/70a9e299-a416-4c87-aa4b-923d0f999551/services/fe1a0218-c89b-4230-acdc-5451f77a0bf3,https://www.gogetta.nyc/find/location/70a9e299-a416-4c87-aa4b-923d0f999551,stlukeinthefields.org/outreach/art-acceptance,Other service,18,30,,,212.924.0562,487 Hudson St,New York,10014,V,,fe1a0218-c89b-4230-acdc-5451f77a0bf3,,,
doobneek,TRUE,Church of St. Matthew & St. Timothy,,Sunday Food Program,https://www.gogetta.nyc/team/location/7ddcdbc5-1af4-4b97-9fea-2a9cbe7084e1/services/c14ffa56-4a29-4c50-8eac-ecf1d0b5c6a5,https://www.gogetta.nyc/find/location/7ddcdbc5-1af4-4b97-9fea-2a9cbe7084e1,smstchurch.org,Soup Kitchen,,,x,,(212) 362-6750,26 W 84th St,New York,10024,V,,c14ffa56-4a29-4c50-8eac-ecf1d0b5c6a5,,,
doobneek,TRUE,Church of St. Paul the Apostle,Parish Center,AA Meetings,https://www.gogetta.nyc/team/location/25358fa8-956e-4478-b473-016f4733f856/services/e806e9e4-9cdc-495c-90d5-60b5898201cd,https://www.gogetta.nyc/find/location/25358fa8-956e-4478-b473-016f4733f856,https://stpaultheapostle.org/get-involved/loaves-and-fishes/,Health,18,,,,(212) 265-3495,405 W 59th St,New York,10019,V,,e806e9e4-9cdc-495c-90d5-60b5898201cd,,,
doobneek,TRUE,Church of St. Paul the Apostle,Parish Center,Food Pantry,https://www.gogetta.nyc/team/location/25358fa8-956e-4478-b473-016f4733f856/services/fb7e3994-9854-49df-a2b4-928d93cd8185,https://www.gogetta.nyc/find/location/25358fa8-956e-4478-b473-016f4733f856,https://stpaultheapostle.org/get-involved/loaves-and-fishes/,Food Pantry,,,x,,(212) 265-3495,405 W 59th St,New York,10019,V,,fb7e3994-9854-49df-a2b4-928d93cd8185,,,
,,Church of the Annunciation,,Food Pantry,https://www.gogetta.nyc/team/location/886fa717-13ca-41a6-b096-3b1c2aa147d2/services/08eef2f0-800d-45a0-a241-6cfd7d09597d,https://www.gogetta.nyc/find/location/886fa717-13ca-41a6-b096-3b1c2aa147d2,https://www.theannunciation.net,Food Pantry,,,,,(212) 234-1919,88 Convent Avenue,NEW YORK,10027,,,08eef2f0-800d-45a0-a241-6cfd7d09597d,,,
,,Church of the Atonement Food Pantry,,Food Pantry,https://www.gogetta.nyc/team/location/09772c81-d033-42be-bc16-733d55412e2a/services/016b11fb-9dce-4161-8f3c-3977d9404fd0,https://www.gogetta.nyc/find/location/09772c81-d033-42be-bc16-733d55412e2a,http://www.atonementbronx.org,Food Pantry,,,,,(718) 828-6078,1344 Beach Avenue,BRONX,10472,,,016b11fb-9dce-4161-8f3c-3977d9404fd0,,,
,,Church of the Crucifixion,,Food Pantry,https://www.gogetta.nyc/team/location/2a407809-e3f5-47b9-a7c6-d9f60cbcc324/services/ee7d570c-1777-4bb4-88be-dd153643a22e,https://www.gogetta.nyc/find/location/2a407809-e3f5-47b9-a7c6-d9f60cbcc324,,Food Pantry,,,,,(212) 281-0900,459 West 149th Street,NEW YORK,10031,,,ee7d570c-1777-4bb4-88be-dd153643a22e,,,
doobneek,TRUE,Church of the Epiphany,,Wednesday Night Dinner Program,https://www.gogetta.nyc/team/location/cecb5edb-7da6-4523-b158-c44aa3f0a03f/services/8a247f63-9746-4897-8fba-4019ffac3ce1,https://www.gogetta.nyc/find/location/cecb5edb-7da6-4523-b158-c44aa3f0a03f,epiphanynyc.org,Soup Kitchen,,,x,,(212) 737- 2720,351 E 74th St,New York,10021,V,,8a247f63-9746-4897-8fba-4019ffac3ce1,,,
doobneek,TRUE,Church of the Epiphany,,Carter Burden Lunch Club (CLBC),https://www.gogetta.nyc/team/location/cecb5edb-7da6-4523-b158-c44aa3f0a03f/services/aba611a9-f216-4566-8980-ff24612abba9,https://www.gogetta.nyc/find/location/cecb5edb-7da6-4523-b158-c44aa3f0a03f,epiphanynyc.org,Food,,,x,,(212) 737- 2720,351 E 74th St,New York,10021,V,,aba611a9-f216-4566-8980-ff24612abba9,,,
doobneek,TRUE,Church of the Good Shepherd,,Food Pantry,https://www.gogetta.nyc/team/location/185b6481-d729-4717-aaa5-cf935b1abaec/services/4b94b9cc-85bf-4e96-b3b9-7cba139f6ced,https://www.gogetta.nyc/find/location/185b6481-d729-4717-aaa5-cf935b1abaec,https://goodshepherdnyc.org,Food Pantry,,,x,,(212) 567-1300,104 Cooper Street,NEW YORK,10034,V,,4b94b9cc-85bf-4e96-b3b9-7cba139f6ced,,,
,,Church of the Holy Spirit,,Food Pantry,https://www.gogetta.nyc/team/location/15ac5695-33b2-4ced-b2f6-605d4abc8fe6/services/afdb9dd3-277c-4cd9-90d5-f0a44dbfb63e,https://www.gogetta.nyc/find/location/15ac5695-33b2-4ced-b2f6-605d4abc8fe6,https://www.facebook.com/pages/category/Catholic-Church/Holy-Spirit-Church-109517019086552/,Food Pantry,,,,,"(718) 436-5565, 718-722-6001",1712 45th Street,Brooklyn,11204,,,afdb9dd3-277c-4cd9-90d5-f0a44dbfb63e,,,
,,Church of the Living God,,Food Pantry,https://www.gogetta.nyc/team/location/1b69fb5b-00bc-48d9-8fba-157b8baa3293/services/798bb894-d553-4b4a-a6e9-990600e19be9,https://www.gogetta.nyc/find/location/1b69fb5b-00bc-48d9-8fba-157b8baa3293,https://networks.whyhunger.org/organization/view/32413,Food Pantry,,,,,"(646) 573-0022, (718) 493-2821",212 Schenectady Ave,Brooklyn,11213,,,798bb894-d553-4b4a-a6e9-990600e19be9,,,
doobneek,TRUE,Church World Service (CWS),Jersey City,Refugee Resettlement and Immigration Representation,https://www.gogetta.nyc/team/location/e3c1c9dd-5da2-4f42-be63-cd03338de320/services/f77d9f47-2b78-4b6d-97c8-9234182ac7eb,https://www.gogetta.nyc/find/location/e3c1c9dd-5da2-4f42-be63-cd03338de320,cwsjerseycity.org/services/refugee-support-services,Other service,,,x,,201.659.0467,"591 Summit Ave, Suite 300",Jersey City,7306,V,,f77d9f47-2b78-4b6d-97c8-9234182ac7eb,,,
doobneek,TRUE,Church World Service (CWS),Headquarters at Interchurch Center,Refugee Resettlement and Immigration Representation,https://www.gogetta.nyc/team/location/28e28c54-1d73-4de0-b330-dbf786ce4164/services/3ffc9a08-b9af-49d9-8eef-8a35a18e5411,https://www.gogetta.nyc/find/location/28e28c54-1d73-4de0-b330-dbf786ce4164,cwsnewyork.org,Other service,,,x,,212.870.2061,475 Riverside Dr,New York,10115,V,,3ffc9a08-b9af-49d9-8eef-8a35a18e5411,,,
doobneek,TRUE,Churches United For Fair Housing (CUFFH),Brooklyn Commons,Housing Consultations,https://www.gogetta.nyc/team/location/069dee8a-7b35-4326-b194-6a1110d7bc77/services/8ff0927e-8c49-4e1c-918a-806109449e41,https://www.gogetta.nyc/find/location/069dee8a-7b35-4326-b194-6a1110d7bc77,www.cuffh.org/services,Other service,18,,,,718.360.2906,7 Marcus Garvey Blvd,Brooklyn,11206,V,,8ff0927e-8c49-4e1c-918a-806109449e41,,,
,,"Cienfuegos Foundation, Inc",,Food Pantry,https://www.gogetta.nyc/team/location/d69866c8-64eb-43d2-aec1-f350e0246bb6/services/31a87b99-cbc8-47ed-84ad-1903252ce591,https://www.gogetta.nyc/find/location/d69866c8-64eb-43d2-aec1-f350e0246bb6,,Food Pantry,,,,,(646) 808-4361,31-17 21st St,Queens,11106,,,31a87b99-cbc8-47ed-84ad-1903252ce591,,,
,,"Citadel of God Almighty - (CAC-WOSEM, Bronx)",,Food Pantry,https://www.gogetta.nyc/team/location/df0c4fc6-6186-4aaf-99d8-55fc000ebfad/services/2ea8305d-ac8d-426d-b549-9d7867f02cc0,https://www.gogetta.nyc/find/location/df0c4fc6-6186-4aaf-99d8-55fc000ebfad,https://www.facebook.com/pg/cogacathedral/about/?ref=page_internal,Food Pantry,,,,,(718) 364-4320,442 E 183rd St,The Bronx,10458,,,2ea8305d-ac8d-426d-b549-9d7867f02cc0,,,
Gavilán,TRUE,City Harvest,Astoria Mobile Market,Mobile Market,https://www.gogetta.nyc/team/location/f74ea3f7-4322-432a-af07-cb89b275ca3a/services/c6164962-1f9b-4760-9c43-e50e92b2fcc6,https://www.gogetta.nyc/find/location/f74ea3f7-4322-432a-af07-cb89b275ca3a,cityharvest.org/mobile-markets,Mobile Market,18,,,N/G,646.412.0600,3-2 Astoria Blvd,Astoria,11102,V,,c6164962-1f9b-4760-9c43-e50e92b2fcc6,,,
Gavilán,TRUE,City Harvest,St. Mary's Mobile Market,Mobile Market,https://www.gogetta.nyc/team/location/dda25a8f-f4d6-4844-bfc8-91a843f13d70/services/1bc6df4e-75ba-4355-8b05-510f7993c762,https://www.gogetta.nyc/find/location/dda25a8f-f4d6-4844-bfc8-91a843f13d70,cityharvest.org/mobile-markets,Mobile Market,18,,,N/G,646.412.0600,595 Trinity Avenue,BRONX,10455,V,,1bc6df4e-75ba-4355-8b05-510f7993c762,,,
Gavilán,TRUE,City Harvest,Melrose Mobile Market,Mobile Market,https://www.gogetta.nyc/team/location/efa2eeba-bffe-4e51-afc4-8674ca5b2e1d/services/803d773a-3e4f-4d56-b98f-087f99e3078b,https://www.gogetta.nyc/find/location/efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,cityharvest.org/mobile-markets,Mobile Market,18,,,N/G,646.412.0600,286 East 156th Street,BRONX,10451,V,,803d773a-3e4f-4d56-b98f-087f99e3078b,,,
Gavilán,TRUE,City Harvest,Sunset Park Mobile Market,Mobile Market,https://www.gogetta.nyc/team/location/fc7226fc-e9db-4b9b-94b8-46daacb9d7c4/services/f220e466-85fc-43cc-9309-9cb6e12e5471,https://www.gogetta.nyc/find/location/fc7226fc-e9db-4b9b-94b8-46daacb9d7c4,cityharvest.org/mobile-markets,Mobile Market,18,,,N/G,646.412.0600,122 52nd St,Brooklyn,11232,V,,f220e466-85fc-43cc-9309-9cb6e12e5471,,,
Gavilán,TRUE,City Harvest,Bed-Stuy Mobile Markets,Mobile Market,https://www.gogetta.nyc/team/location/b8149033-7db8-4fa4-84d5-1ba673002e3f/services/35b8f5f7-406b-40df-8616-4ef56b3a4068,https://www.gogetta.nyc/find/location/b8149033-7db8-4fa4-84d5-1ba673002e3f,cityharvest.org/mobile-markets/,Mobile Market,18,,,N/G,646.412.0600,200 Throop Ave,Brooklyn,11206,V,,35b8f5f7-406b-40df-8616-4ef56b3a4068,,,
Gavilán,TRUE,City Harvest,Prince Hall Mobile Market,Mobile Market,https://www.gogetta.nyc/team/location/da2ab990-e4db-451c-ac04-fb9436924e98/services/e426ad7e-1f38-4e06-a2c5-2cd540c5710b,https://www.gogetta.nyc/find/location/da2ab990-e4db-451c-ac04-fb9436924e98,cityharvest.org/mobile-markets,Mobile Market,18,,,N/G,646.412.0600,454 West 155th Street,NEW YORK,10032,V,,e426ad7e-1f38-4e06-a2c5-2cd540c5710b,,,
,,City Harvest,Washington Heights/Inwood Mobile Market,Mobile Market,https://www.gogetta.nyc/team/location/e68347fc-c7de-43a1-ad1c-378ab1d96f85/services/a24c713c-6fde-4ab4-8a9a-93990b0c6557,https://www.gogetta.nyc/find/location/e68347fc-c7de-43a1-ad1c-378ab1d96f85,cityharvest.org/mobile-markets,Mobile Market,,,,,646.412.0600,3716 10th Ave,New York,10040,,,a24c713c-6fde-4ab4-8a9a-93990b0c6557,,,
Gavilán,TRUE,City Harvest,Queensbridge Mobile Market,Mobile Market,https://www.gogetta.nyc/team/location/99b7f4ee-03ad-49c3-940b-c7bdf9ac13d7/services/6a9ab97b-86d4-40cb-bf07-f886e5e3cad5,https://www.gogetta.nyc/find/location/99b7f4ee-03ad-49c3-940b-c7bdf9ac13d7,cityharvest.org/mobile-markets,Mobile Market,18,,,N/G,646.412.0600,40-07 Vernon Blvd,Queens,11101,V,,6a9ab97b-86d4-40cb-bf07-f886e5e3cad5,,,
Gavilán,TRUE,City Harvest,Stapleton Mobile Market,Mobile Market,https://www.gogetta.nyc/team/location/7e29ee8c-d108-4a98-93e5-57c1b691f09d/services/afd8f5d5-52f9-4f01-9caf-ce4cd42827b5,https://www.gogetta.nyc/find/location/7e29ee8c-d108-4a98-93e5-57c1b691f09d,cityharvest.org/mobile-markets,Mobile Market,18,,,N/G,646.412.0600,75 HIll Street,STATEN ISLAND,10304,V,,afd8f5d5-52f9-4f01-9caf-ce4cd42827b5,,,
,,City Harvest Bedstuy Mobile Market,,Food Pantry,https://www.gogetta.nyc/team/location/fb041aa7-98ec-41a1-a197-2138b3626926/services/d739b806-41f2-4d50-833e-54ef68fd7244,https://www.gogetta.nyc/find/location/fb041aa7-98ec-41a1-a197-2138b3626926,,Food Pantry,,,,,(646) 772-2190,736 Park Avenue,BROOKLYN,11206,,,d739b806-41f2-4d50-833e-54ef68fd7244,,,
,,City Harvest Marine's Harbor Mobile Market,,Food Pantry,https://www.gogetta.nyc/team/location/943807ff-b8e8-4104-8e23-7764d0c88b45/services/6533e73e-ee6d-4a65-9ad7-2b899b35b7ee,https://www.gogetta.nyc/find/location/943807ff-b8e8-4104-8e23-7764d0c88b45,,Food Pantry,,,,,(646) 772-2190,22 Roxbury Street,STATEN ISLAND,10303,,,6533e73e-ee6d-4a65-9ad7-2b899b35b7ee,,,
,,City Harvest Mobile Market Dyckman Houses,,Food Pantry,https://www.gogetta.nyc/team/location/c16cc54e-5b85-4027-9b83-6778faf8f31b/services/8009d8c2-5c0c-4865-9c22-433ea53c062c,https://www.gogetta.nyc/find/location/c16cc54e-5b85-4027-9b83-6778faf8f31b,,Food Pantry,,,,,(646) 722-2190,177 Nagle Avenue,NEW YORK,10034,,,8009d8c2-5c0c-4865-9c22-433ea53c062c,,,
,,City Of Faith Church Of God,,Food Pantry,https://www.gogetta.nyc/team/location/376700ee-0a31-4d38-ae25-a49d62b66a17/services/84a33e9e-3ece-4fee-be8c-f940b1c7c9d8,https://www.gogetta.nyc/find/location/376700ee-0a31-4d38-ae25-a49d62b66a17,https://www.cityoffaithchurchofgod.org/our-ministries/,Food Pantry,,,,,718-798-3052,3445 White Plains Road,The Bronx,10467,,,84a33e9e-3ece-4fee-be8c-f940b1c7c9d8,,,
Gavilán,TRUE,City Relief,East Harlem (Salvation Army),Mobile Soup Kitchen,https://www.gogetta.nyc/team/location/190f1d88-4c6a-4896-b62f-370dbe4e976f/services/5696a057-058e-4610-98d0-29e53067f11a,https://www.gogetta.nyc/find/location/190f1d88-4c6a-4896-b62f-370dbe4e976f,newyorkcityrelief.org/our-locations,Food Pantry,18,,,,,563 Lenox Ave,New York,10037,V,,5696a057-058e-4610-98d0-29e53067f11a,,,
Gavilán,TRUE,City Relief,East Harlem (Salvation Army),Socks and Hygiene Kits,https://www.gogetta.nyc/team/location/190f1d88-4c6a-4896-b62f-370dbe4e976f/services/784a2795-c5bc-4a3e-8655-af73fc731c80,https://www.gogetta.nyc/find/location/190f1d88-4c6a-4896-b62f-370dbe4e976f,newyorkcityrelief.org/our-locations,Personal Care,18,,,,,563 Lenox Ave,New York,10037,V,,784a2795-c5bc-4a3e-8655-af73fc731c80,,,
Gavilán,TRUE,City Relief,Outside East Harlem Salvation Army,Socks and Hygiene Kits,https://www.gogetta.nyc/team/location/5f16f463-16a4-4b9e-9cbc-e9e748a29dc8/services/66b3ecc6-1234-4f77-bcd5-dca41e2db280,https://www.gogetta.nyc/find/location/5f16f463-16a4-4b9e-9cbc-e9e748a29dc8,newyorkcityrelief.org/our-locations,Personal Care,18,,,,,540 Lenox Ave,New York,10037,V,,66b3ecc6-1234-4f77-bcd5-dca41e2db280,,,
Gavilán,TRUE,City Relief,Outside East Harlem Salvation Army,Mobile Soup Kitchen,https://www.gogetta.nyc/team/location/5f16f463-16a4-4b9e-9cbc-e9e748a29dc8/services/9551fc18-3a17-444d-a6f8-d18f647ea118,https://www.gogetta.nyc/find/location/5f16f463-16a4-4b9e-9cbc-e9e748a29dc8,newyorkcityrelief.org/our-locations,Food Pantry,18,,,,,540 Lenox Ave,New York,10037,V,,9551fc18-3a17-444d-a6f8-d18f647ea118,,,
,,City Relief,Chelsea Park Outreach Bus,Food Pantry,https://www.gogetta.nyc/team/location/7b47e042-4e3a-4ff1-a1b4-8b28739901a9/services/c92adbf9-4fa1-419c-a6a6-2529918173c6,https://www.gogetta.nyc/find/location/7b47e042-4e3a-4ff1-a1b4-8b28739901a9,https://newyorkcityrelief.org/our-locations,Food Pantry,,,,,908-416-8883,295 W 28th St,New York,10001,,,c92adbf9-4fa1-419c-a6a6-2529918173c6,,,
,,City Relief,South Bronx Outreach,Soup kitchen,https://www.gogetta.nyc/team/location/1dad79d2-296d-417a-a38e-010563a8b9da/services/2e707f80-1ca4-41a6-a461-9a3c943be58f,https://www.gogetta.nyc/find/location/1dad79d2-296d-417a-a38e-010563a8b9da,newyorkcityrelief.org/our-locations,Soup Kitchen,,,,,"(646) 431-4661, (908) 416-8883",148 St & Brook Ave,The Bronx,10459,,,2e707f80-1ca4-41a6-a461-9a3c943be58f,,,
,FALSE,City University of New York (CUNY),Welcome Center - Previously Located at 1114 Avenue of the Americas,Admissions Advisement,https://www.gogetta.nyc/team/location/e751bcb1-9dd7-434b-9d86-8025f98ff37a/services/ebd608ad-8e1b-431e-bef4-954640f8864b,https://www.gogetta.nyc/find/location/e751bcb1-9dd7-434b-9d86-8025f98ff37a,cuny.edu,Other service,,,x,,212.997.2869,217 E 42nd St,New York,10017,V,,ebd608ad-8e1b-431e-bef4-954640f8864b,,,
,,Civilian Complaint Review Board (CCRB),,Discrimination & Complaints,https://www.gogetta.nyc/team/location/f7ae3836-ee77-4414-9640-803c72009e36/services/69ca946b-19db-4fc0-b0e2-933ed9c503b5,https://www.gogetta.nyc/find/location/f7ae3836-ee77-4414-9640-803c72009e36,www1.nyc.gov/site/ccrb/index.page,Other service,,,,,800.341.2272,100 Church Street,New York,10007,,,69ca946b-19db-4fc0-b0e2-933ed9c503b5,,,
,,Co-op City SDA Seventh-day Adventist (SDA) Church,,Food Pantry,https://www.gogetta.nyc/team/location/c2b8ffc9-5408-436e-9e62-2d6b8f893ef4/services/3ffc0712-f373-4ab4-a1b0-3af6d4993380,https://www.gogetta.nyc/find/location/c2b8ffc9-5408-436e-9e62-2d6b8f893ef4,coopcity22.adventistchurchconnect.org,Food Pantry,,,,,"(718) 320-0518, (914) 860-6570",1010 BAYCHESTER AVENUE,BRONX,10475,,,3ffc0712-f373-4ab4-a1b0-3af6d4993380,,,
,FALSE,Coalición Mexicana - Mexican Coalition,,Education and Workshops,https://www.gogetta.nyc/team/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7/services/166518ab-06e2-41ef-bbe1-e8c99f277b1b,https://www.gogetta.nyc/find/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7,coalicionmexicana.org,Other service,,,,,"646.301.6842, 917.600.1644",371 E 150th St,Bronx,10455,V,,166518ab-06e2-41ef-bbe1-e8c99f277b1b,,,
,FALSE,Coalición Mexicana - Mexican Coalition,,Free Mental Health Therapy,https://www.gogetta.nyc/team/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7/services/21bb8d2a-5173-4176-a761-3f0fd99fa8d4,https://www.gogetta.nyc/find/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7,coalicionmexicana.org,Health,,,,,"646.301.6842, 917.600.1644",371 E 150th St,Bronx,10455,V,,21bb8d2a-5173-4176-a761-3f0fd99fa8d4,,,
,FALSE,Coalición Mexicana - Mexican Coalition,,Paid Legal Services and Translation,https://www.gogetta.nyc/team/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7/services/54766717-ac49-4548-80e9-bdcc278d7316,https://www.gogetta.nyc/find/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7,coalicionmexicana.org,Other service,,,,,"646.301.6842, 917.600.1644",371 E 150th St,Bronx,10455,V,,54766717-ac49-4548-80e9-bdcc278d7316,,,
,FALSE,Coalición Mexicana - Mexican Coalition,,Social Services,https://www.gogetta.nyc/team/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7/services/5b7b4722-c1cf-4808-a0bf-160b04886a4e,https://www.gogetta.nyc/find/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7,coalicionmexicana.org,Other service,,,,,"646.301.6842, 917.600.1644",371 E 150th St,Bronx,10455,V,,5b7b4722-c1cf-4808-a0bf-160b04886a4e,,,
,FALSE,Coalición Mexicana - Mexican Coalition,,Clothing and Toys,https://www.gogetta.nyc/team/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7/services/68b6fe89-9c10-4b67-b39f-2a3574ce2c34,https://www.gogetta.nyc/find/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7,coalicionmexicana.org,Clothing,,,,,"646.301.6842, 917.600.1644",371 E 150th St,Bronx,10455,V,,68b6fe89-9c10-4b67-b39f-2a3574ce2c34,,,
,FALSE,Coalición Mexicana - Mexican Coalition,,Tacos and Pantry,https://www.gogetta.nyc/team/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7/services/e0db6923-6fec-4e65-a8e2-395f8dff6ad4,https://www.gogetta.nyc/find/location/f2b78ee8-468a-494f-8198-4fb2fe534cf7,coalicionmexicana.org,Food,,,,,"646.301.6842, 917.600.1644",371 E 150th St,Bronx,10455,V,,e0db6923-6fec-4e65-a8e2-395f8dff6ad4,,,
,FALSE,Coalition for Hispanic Family Services,Main Loaction,Child Abuse Prevention,https://www.gogetta.nyc/team/location/a76755a4-2254-4d4d-bb68-6ffcd8815001/services/344d5881-c7b8-467d-9733-b310705fe7f9,https://www.gogetta.nyc/find/location/a76755a4-2254-4d4d-bb68-6ffcd8815001,hispanicfamilyservicesny.org,Other service,,,,,718.497.6090,"315 Wyckoff Ave, Floor 4",Brooklyn,11237,V,,344d5881-c7b8-467d-9733-b310705fe7f9,,,
,FALSE,Coalition for Hispanic Family Services,Main Loaction,After School & Summer Programs,https://www.gogetta.nyc/team/location/a76755a4-2254-4d4d-bb68-6ffcd8815001/services/4e09051d-c728-4216-837a-ef18cf46636e,https://www.gogetta.nyc/find/location/a76755a4-2254-4d4d-bb68-6ffcd8815001,hispanicfamilyservicesny.org,Other service,,,,,718.497.6090,"315 Wyckoff Ave, Floor 4",Brooklyn,11237,V,,4e09051d-c728-4216-837a-ef18cf46636e,,,
,FALSE,Coalition for Hispanic Family Services,Main Loaction,"Outpatient Child, Adolescent, and Family Mental Health Services",https://www.gogetta.nyc/team/location/a76755a4-2254-4d4d-bb68-6ffcd8815001/services/96b01224-df3f-4be9-9d41-b4754b5da0fc,https://www.gogetta.nyc/find/location/a76755a4-2254-4d4d-bb68-6ffcd8815001,hispanicfamilyservicesny.org,Health,,,,,718.497.6090,"315 Wyckoff Ave, Floor 4",Brooklyn,11237,V,,96b01224-df3f-4be9-9d41-b4754b5da0fc,,,
,FALSE,Coalition for Hispanic Family Services,Main Loaction,Children's Community Residence,https://www.gogetta.nyc/team/location/a76755a4-2254-4d4d-bb68-6ffcd8815001/services/ac592619-4a7c-4b7e-90e4-03ad5a64e5cb,https://www.gogetta.nyc/find/location/a76755a4-2254-4d4d-bb68-6ffcd8815001,hispanicfamilyservicesny.org,Other service,,,,,718.497.6090,"315 Wyckoff Ave, Floor 4",Brooklyn,11237,V,,ac592619-4a7c-4b7e-90e4-03ad5a64e5cb,,,
,FALSE,Coalition for Hispanic Family Services,Main Loaction,Treatment Family Foster Care,https://www.gogetta.nyc/team/location/a76755a4-2254-4d4d-bb68-6ffcd8815001/services/f88bc44e-d3cb-4313-9368-a9513114eccc,https://www.gogetta.nyc/find/location/a76755a4-2254-4d4d-bb68-6ffcd8815001,hispanicfamilyservicesny.org,Health,,,,,718.497.6090,"315 Wyckoff Ave, Floor 4",Brooklyn,11237,V,,f88bc44e-d3cb-4313-9368-a9513114eccc,,,
